datetime,parameter,value
2026-06-10T00:00Z,pm10,390.2
2026-06-10T00:00Z,pm25,84.8
2026-06-10T00:00Z,co,251.0
2026-06-10T00:00Z,no2,35.1
2026-06-10T00:00Z,so2,20.2
2026-06-10T00:00Z,o3,36.0
2026-06-10T01:00Z,pm10,504.8
2026-06-10T01:00Z,pm25,95.0
2026-06-10T01:00Z,co,258.0
2026-06-10T01:00Z,no2,30.3
2026-06-10T01:00Z,so2,18.8
2026-06-10T01:00Z,o3,45.0
2026-06-10T02:00Z,pm10,499.2
2026-06-10T02:00Z,pm25,104.5
2026-06-10T02:00Z,co,308.0
2026-06-10T02:00Z,no2,23.5
2026-06-10T02:00Z,so2,16.8
2026-06-10T02:00Z,o3,60.0
2026-06-10T03:00Z,pm10,668.7
2026-06-10T03:00Z,pm25,121.1
2026-06-10T03:00Z,co,333.0
2026-06-10T03:00Z,no2,17.4
2026-06-10T03:00Z,so2,15.3
2026-06-10T03:00Z,o3,78.0
2026-06-10T04:00Z,pm10,739.5
2026-06-10T04:00Z,pm25,131.3
2026-06-10T04:00Z,co,293.0
2026-06-10T04:00Z,no2,12.7
2026-06-10T04:00Z,so2,15.1
2026-06-10T04:00Z,o3,106.0
2026-06-10T05:00Z,pm10,886.6
2026-06-10T05:00Z,pm25,149.0
2026-06-10T05:00Z,co,228.0
2026-06-10T05:00Z,no2,8.7
2026-06-10T05:00Z,so2,15.4
2026-06-10T05:00Z,o3,138.0
2026-06-10T06:00Z,pm10,1069.2
2026-06-10T06:00Z,pm25,169.0
2026-06-10T06:00Z,co,180.0
2026-06-10T06:00Z,no2,5.8
2026-06-10T06:00Z,so2,15.1
2026-06-10T06:00Z,o3,159.0
2026-06-10T07:00Z,pm10,1173.5
2026-06-10T07:00Z,pm25,178.8
2026-06-10T07:00Z,co,169.0
2026-06-10T07:00Z,no2,4.0
2026-06-10T07:00Z,so2,13.4
2026-06-10T07:00Z,o3,162.0
2026-06-10T08:00Z,pm10,1210.7
2026-06-10T08:00Z,pm25,178.8
2026-06-10T08:00Z,co,177.0
2026-06-10T08:00Z,no2,3.2
2026-06-10T08:00Z,so2,11.2
2026-06-10T08:00Z,o3,155.0
2026-06-10T09:00Z,pm10,1166.0
2026-06-10T09:00Z,pm25,169.0
2026-06-10T09:00Z,co,189.0
2026-06-10T09:00Z,no2,4.0
2026-06-10T09:00Z,so2,9.5
2026-06-10T09:00Z,o3,146.0
2026-06-10T10:00Z,pm10,1020.7
